country,Underweight,Normal,Obese
Belgium,2.8,47.0,16.3
Bulgaria,2.0,43.1,13.6
Czechia,1.3,38.8,19.8
Denmark,1.7,47.9,16.5
Germany (until 1990 former territory of the FRG),2.3,44.2,19.0
Estonia,2.0,41.3,21.8
Ireland,17.4,28.2,25.9
Greece,1.2,41.2,16.7
Spain,2.0,44.3,16.0
France,3.4,49.5,15.0
Croatia,1.4,33.9,23.0
Italy,3.5,50.8,11.7
Cyprus,3.3,46.9,15.2
Latvia,2.2,39.5,23.0
Lithuania,1.8,41.4,18.9
Luxembourg,3.1,48.5,16.5
Hungary,2.1,38.0,24.5
Malta,1.6,33.6,28.7
Netherlands,2.0,47.9,14.7
Austria,2.1,45.7,17.1
Poland,2.3,39.6,19.0
Portugal,1.6,42.5,17.7
Romania,0.8,40.6,10.9
Slovenia,1.3,40.6,19.9
Slovakia,2.0,39.3,19.7
Finland,1.2,39.8,20.9
Sweden,1.7,46.9,15.3
Iceland,0.8,37.1,22.3
Norway,1.7,47.7,14.1
Serbia,2.1,44.3,17.3
Turkey,2.8,38.4,22.3
