Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union - 27 countries (from 2020),61.8,61.4,61.3,61,61.3,62.8,64,63.9,64,64.6
Belgium,63.3,63.5,64.6,63.9,64.1,64.2,63.7,63.7,63.4,62.4
Bulgaria,65,64,63.9,64.5,64,63.2,65.7,64.5,65.8,66.3
Czechia,63.3,62.9,63.2,63.3,64.1,63,63.3,61.4,62.7,62
Denmark,62,61.8,61.4,60.5,60.9,59.1,60.3,59.7,60.9,58.9
Germany,58.3,58.2,57.6,57.4,56.5,66.4,66.4,66,65.8,66.3
Estonia,56.2,56.1,55.1,55.5,55.2,55,56.8,56,53.9,55.8
Ireland,66.4,67.2,67.2,66.9,66.9,67.2,68.5,68.6,69.4,69.6
Greece,66.9,66.6,64.9,64.9,64.5,64,64.3,64.8,65.4,66
Spain,64.2,65.5,65.3,64.3,65,64,66.2,69.4,68,69.9
France,62.6,63.1,63.2,63.6,63.8,63.6,63.4,63.7,63.9,64.1
Croatia,59,60.7,63.1,59,59.3,56.1,57.9,57.6,57.5,57.4
Cyprus,64.7,61.3,63.7,64.7,66,63.3,68.2,65.2,62.2,62.5
Latvia,54.8,55.1,56.8,53,53.4,53,53.6,51.4,52.3,53.1
Lithuania,59.8,59.5,59.1,59.2,59.7,56.5,57.8,58.1,57.7,57.5
Luxembourg,65.5,66.5,66.1,63.3,63.8,62.2,60.2,59.2,60.7,62.6
Hungary,57.5,58.4,59.8,59.5,59.9,59.1,59.8,60.2,61.1,61.7
Malta,70.7,70.3,71.9,72.1,73.4,73.6,71.7,72.7,72.7,73.2
Netherlands,60.7,61.5,61.2,59.5,61.2,59.1,60.3,60,59.2,61
Austria,60.1,59.8,61.4,59.9,57.7,58,57,57.1,56.9,57.3
Poland,60.4,61.1,61,61,61.3,61.6,62.9,62,62.4,62.5
Portugal,58,59.6,63.6,63,56.9,56.5,58.6,58.5,58.6,59.2
Romania,57.4,57.5,57.6,58.4,59,59.2,59.4,58.7,59.4,60.2
Slovenia,53.9,53.9,56,58.5,58.7,58.1,58.3,55,55.5,60.9
Slovakia,52.2,52.2,53.3,54.4,55.1,54.9,56.7,55.6,56.1,56.2
Norway,69.9,75.1,71.3,70,71.1,70.4,69.9,70.9,70.4,69.8
Switzerland,64.5,65.5,68.2,60,58.6,59.4,59.4,60.6,60.5,60.6
